,Topic,Probability,created_at,date,week_start
1271,Topic 0,0,Wed Jan 06 18:42:02 +0000 2021,1/6/21,1/3/21
1272,Topic 0,0,Wed Jan 06 18:41:03 +0000 2021,1/6/21,1/3/21
1273,Topic 0,0,Wed Jan 06 18:38:46 +0000 2021,1/6/21,1/3/21
1274,Topic 0,0,Wed Jan 06 18:36:40 +0000 2021,1/6/21,1/3/21
1275,Topic 0,0,Wed Jan 06 18:08:00 +0000 2021,1/6/21,1/3/21
1276,Topic 0,0,Wed Jan 06 19:38:37 +0000 2021,1/6/21,1/3/21
1277,Topic 0,0,Wed Jan 06 19:33:14 +0000 2021,1/6/21,1/3/21
1278,Topic 0,0,Wed Jan 06 19:30:47 +0000 2021,1/6/21,1/3/21
1279,Topic 0,0,Wed Jan 06 19:30:03 +0000 2021,1/6/21,1/3/21
1280,Topic 0,0,Wed Jan 06 19:27:15 +0000 2021,1/6/21,1/3/21
1281,Topic 0,0,Wed Jan 06 23:22:26 +0000 2021,1/6/21,1/3/21
1282,Topic 0,0,Thu Dec 24 11:08:36 +0000 2020,12/24/20,12/20/20
1283,Topic 0,0,Thu Dec 24 10:08:51 +0000 2020,12/24/20,12/20/20
1284,Topic 0,0,Thu Dec 24 10:02:41 +0000 2020,12/24/20,12/20/20
1285,Topic 0,0,Sat Dec 26 18:27:22 +0000 2020,12/26/20,12/20/20
1286,Topic 0,0,Fri Dec 25 03:33:45 +0000 2020,12/25/20,12/20/20
