,Topic,Probability,created_at,date,week_start
1042,Topic 0,0,Sat Feb 13 19:24:59 +0000 2021,2/13/21,2/7/21
1043,Topic 0,0,Sat Feb 13 19:18:14 +0000 2021,2/13/21,2/7/21
1044,Topic 0,0,Sat Feb 13 19:15:37 +0000 2021,2/13/21,2/7/21
1045,Topic 0,0,Sat Feb 13 19:13:09 +0000 2021,2/13/21,2/7/21
1046,Topic 0,0,Sat Feb 13 17:24:24 +0000 2021,2/13/21,2/7/21
1047,Topic 0,0,Sun Feb 14 19:41:11 +0000 2021,2/14/21,2/14/21
1048,Topic 0,0,Sat Feb 13 16:55:56 +0000 2021,2/13/21,2/7/21
1049,Topic 0,0,Sat Feb 13 16:08:21 +0000 2021,2/13/21,2/7/21
1050,Topic 0,0,Sun Feb 14 23:32:44 +0000 2021,2/14/21,2/14/21
1051,Topic 0,0,Sun Feb 14 23:27:42 +0000 2021,2/14/21,2/14/21
1052,Topic 0,0,Sun Feb 14 23:21:37 +0000 2021,2/14/21,2/14/21
1053,Topic 0,0,Sun Feb 14 23:19:43 +0000 2021,2/14/21,2/14/21
1054,Topic 0,0,Sun Feb 14 22:48:54 +0000 2021,2/14/21,2/14/21
1055,Topic 0,0,Sun Feb 14 22:21:00 +0000 2021,2/14/21,2/14/21
1056,Topic 0,0,Sun Feb 14 21:41:21 +0000 2021,2/14/21,2/14/21
1057,Topic 0,0,Sun Feb 14 21:30:36 +0000 2021,2/14/21,2/14/21
1058,Topic 0,0,Sun Feb 14 20:28:14 +0000 2021,2/14/21,2/14/21
1059,Topic 0,0,Fri Jan 01 03:16:02 +0000 2021,1/1/21,12/27/20
1060,Topic 0,0,Fri Jan 01 00:20:20 +0000 2021,1/1/21,12/27/20
1061,Topic 0,0,Sat Jan 02 15:30:46 +0000 2021,1/2/21,12/27/20
1062,Topic 0,0,Sun Jan 03 13:31:58 +0000 2021,1/3/21,1/3/21
1063,Topic 0,0,Fri Jan 01 16:44:28 +0000 2021,1/1/21,12/27/20
1064,Topic 0,0,Fri Jan 01 16:36:36 +0000 2021,1/1/21,12/27/20
1065,Topic 0,0,Fri Jan 01 16:12:38 +0000 2021,1/1/21,12/27/20
1066,Topic 0,0,Fri Jan 01 16:07:00 +0000 2021,1/1/21,12/27/20
1067,Topic 0,0,Sun Jan 03 18:05:07 +0000 2021,1/3/21,1/3/21
1068,Topic 0,0,Sun Jan 03 17:55:15 +0000 2021,1/3/21,1/3/21
1069,Topic 0,0,Sun Jan 03 17:54:01 +0000 2021,1/3/21,1/3/21
1070,Topic 0,0,Sun Jan 03 17:49:44 +0000 2021,1/3/21,1/3/21
1071,Topic 0,0,Sun Jan 03 16:38:57 +0000 2021,1/3/21,1/3/21
1072,Topic 0,0,Sun Jan 03 15:43:31 +0000 2021,1/3/21,1/3/21
1073,Topic 0,0,Sun Jan 03 14:49:58 +0000 2021,1/3/21,1/3/21
1074,Topic 0,0,Sun Jan 03 09:41:55 +0000 2021,1/3/21,1/3/21
1075,Topic 0,0,Sat Jan 02 15:26:20 +0000 2021,1/2/21,12/27/20
1076,Topic 0,0,Sun Jan 03 09:24:14 +0000 2021,1/3/21,1/3/21
1077,Topic 0,0,Sun Jan 03 08:53:11 +0000 2021,1/3/21,1/3/21
1078,Topic 0,0,Sun Jan 03 08:41:46 +0000 2021,1/3/21,1/3/21
1079,Topic 0,0,Sun Jan 03 08:20:21 +0000 2021,1/3/21,1/3/21
1080,Topic 0,0,Sun Jan 03 05:11:15 +0000 2021,1/3/21,1/3/21
1081,Topic 0,0,Sun Jan 03 04:05:23 +0000 2021,1/3/21,1/3/21
1082,Topic 0,0,Sun Jan 03 02:38:38 +0000 2021,1/3/21,1/3/21
1083,Topic 0,0,Sun Jan 03 01:47:51 +0000 2021,1/3/21,1/3/21
1084,Topic 0,0,Sun Jan 03 01:19:43 +0000 2021,1/3/21,1/3/21
1085,Topic 0,0,Sun Jan 03 01:04:56 +0000 2021,1/3/21,1/3/21
1086,Topic 0,0,Sun Jan 03 01:04:09 +0000 2021,1/3/21,1/3/21
1087,Topic 0,0,Fri Jan 01 16:54:54 +0000 2021,1/1/21,12/27/20
